CommRound,Acc,Loss,Time
0,8.92,2.3045806884765625,3.716074228286743
1,26.81,1.779874792581872,29.598807096481323
2,49.22,1.4146089787724652,29.602404832839966
3,72.93,0.7378778853748418,29.192057847976685
4,79.43,0.586809745317773,29.290616512298584
5,76.99,0.8107426939885828,31.298054456710815
6,88.13,0.35967130072509185,28.94995141029358
7,83.36,0.6093750199939632,29.144862413406372
8,87.93,0.41560858752154095,28.52789807319641
9,77.56,0.922965013528172,28.871535539627075
10,80.97,0.7133466544785078,28.985353231430054
11,90.06,0.36326920292988607,30.325734615325928
12,87.44,0.4489701838244366,31.189025163650513
13,89.6,0.39355778790821755,30.47408175468445
14,92.24,0.28253698969094815,29.38465929031372
15,92.71,0.28360757776359213,30.61935806274414
16,93.02,0.28513678692611333,29.64360022544861
17,92.15,0.32749849715847756,29.513474225997925
18,93.41,0.2890379938497385,29.88031792640686
19,93.25,0.2865350419490398,29.006559133529663
20,93.42,0.2844038631154012,29.2056405544281
21,93.48,0.28297831205344653,29.65500807762146
22,93.54,0.282135627338592,29.530758380889893
23,93.6,0.2815465190553967,30.626118898391724
24,93.63,0.2812416959860468,29.563205003738403
25,93.68,0.280941150386971,29.483264446258545
26,93.72,0.2807241536004917,30.1511447429657
27,93.75,0.28047889491095196,30.06535816192627
28,93.8,0.2802556412518496,29.0322527885437
29,93.82,0.2800361773388201,28.612231492996216
30,93.85,0.2798952422210876,30.075312852859497
