CommRound,Acc,Loss,Time
0,9.61,2.3038771484471576,3.9294843673706055
1,54.2,1.4150369921817054,30.006292819976807
2,72.9,0.8006953446170951,29.485644817352295
3,76.82,0.7668121053448206,28.33037805557251
4,78.43,0.7248477920701232,28.32478976249695
5,82.45,0.7899209262826775,28.926578998565674
6,91.45,0.2763366975078854,28.74023938179016
7,91.31,0.3069352744548004,27.806976556777954
8,90.72,0.30734791238851183,28.215074062347412
9,89.25,0.44494477395392673,29.101781845092773
10,91.07,0.32769250162417374,29.448349237442017
11,91.54,0.3176406076460888,29.56230115890503
12,91.75,0.31625448571683107,29.50046730041504
13,91.94,0.31188386236612176,29.592589616775513
14,92.01,0.3101809519826423,28.272225379943848
15,92.1,0.30847328030091675,29.683958530426025
16,92.18,0.30720970939986314,27.586495399475098
17,92.24,0.3067275065975853,29.907955646514893
18,92.27,0.30607093300057364,33.35506081581116
19,92.32,0.30570532999272587,31.23895263671875
20,92.32,0.30531311664683153,30.495603561401367
21,92.35,0.3044941069181018,28.62621521949768
22,92.39,0.30451930315481335,28.941747426986694
23,92.39,0.3042876448222919,31.63232445716858
24,92.45,0.30409908440270567,29.101682901382446
25,92.54,0.3035904246299893,30.327757835388184
26,92.53,0.30349115295264917,30.475186347961426
27,92.53,0.30318757422457016,30.295445442199707
28,92.55,0.3029155571815334,29.312907457351685
29,92.57,0.30237827890941615,31.125593185424805
30,92.57,0.3022639918070334,30.60993266105652
