CommRound,Acc,Loss,Time
0,8.92,2.3045806884765625,4.493433237075806
1,29.44,1.7365307068522973,30.040724277496338
2,62.89,1.0302458631841442,29.828776121139526
3,74.34,0.6891795559019982,30.505715370178223
4,77.67,0.6439238688613795,29.463541507720947
5,79.96,0.5469970854022835,30.36354112625122
6,85.13,0.43365014957476267,29.627279043197632
7,88.68,0.3376943498284002,30.135133981704712
8,90.77,0.3219720347301115,30.175445556640625
9,91.52,0.3059552847584592,29.810471057891846
10,91.86,0.3027970133514344,30.014169692993164
11,92.51,0.2827135006649585,30.753453731536865
12,92.78,0.2758126859140547,30.944327354431152
13,92.83,0.2755334377760374,29.969478130340576
14,92.91,0.2750034790745453,29.817008018493652
15,92.94,0.2748451096748438,29.77767515182495
16,92.98,0.274561067901646,29.811387062072754
17,93.02,0.2745207460196335,29.52686333656311
18,93.04,0.27435875081610456,31.42016363143921
19,93.09,0.2743266081390313,30.275789976119995
20,93.15,0.27443581917382115,30.143046855926514
21,93.16,0.27450234317987027,30.80373501777649
22,93.19,0.27453744450371853,29.813026905059814
23,93.22,0.2746594553294627,30.389988899230957
24,93.21,0.2748550342490213,30.033881187438965
25,93.22,0.2751353269419338,31.016091108322144
26,93.24,0.2751298175912492,30.12311553955078
27,93.25,0.2752928387350108,29.958621501922607
28,93.25,0.27542732634782036,30.55145835876465
29,93.27,0.2755809099165888,29.714539289474487
30,93.29,0.2756936771653687,30.243594646453857
