CommRound,Acc,Loss,Time
0,8.92,2.3045806884765625,4.473252773284912
1,37.03,1.71114426474028,29.953462600708008
2,66.0,1.1730480601515951,30.76811981201172
3,70.54,0.8577282526825047,30.544283390045166
4,82.37,0.5290931391565106,31.276156425476074
5,83.21,0.5360720987561383,30.657373428344727
6,86.22,0.3798826600931868,31.01967692375183
7,83.7,0.49844680009763453,30.516957998275757
8,90.17,0.3154590923952151,29.725607872009277
9,91.39,0.276850202509874,30.12983226776123
10,92.3,0.27128336988861046,29.68805241584778
11,92.57,0.2569908235174946,30.557491779327393
12,92.77,0.24876193155216264,31.131816625595093
13,92.86,0.24337274970227404,30.093724250793457
14,92.98,0.23941357782747172,30.301897048950195
15,92.98,0.23706611519372917,31.25464701652527
16,93.07,0.23488980081356778,30.38588571548462
17,93.1,0.2331267339472152,30.471968173980713
18,93.1,0.23172369740809065,30.368282556533813
19,93.17,0.23082974843114992,31.145873308181763
20,93.2,0.2299542291019159,30.412665367126465
21,93.24,0.22895142195534102,31.199992179870605
22,93.25,0.22825877931959268,30.472054719924927
23,93.28,0.2278105687302879,30.36344838142395
24,93.28,0.22716045495169826,30.617101430892944
25,93.29,0.22659552071384992,31.277240753173828
26,93.25,0.2264139491215914,29.92163920402527
27,93.28,0.22608972350253334,30.50303339958191
28,93.3,0.22567481488649604,30.862168788909912
29,93.33,0.2254244367580248,30.54503035545349
30,93.34,0.22530692813422862,31.443215131759644
