CommRound,Acc,Loss,Time
0,9.43,2.3051586392559584,3.8800878524780273
1,38.86,1.5836474261706388,26.982349634170532
2,68.17,0.983743628369102,27.42140293121338
3,82.79,0.46216270327568054,25.921159029006958
4,83.46,0.5296146479211276,25.47675108909607
5,93.53,0.22638056651229346,25.966193675994873
6,92.04,0.2737785597343611,27.261619806289673
7,92.2,0.27844886512413053,25.47451138496399
8,92.71,0.2671637155787571,25.896755933761597
9,93.33,0.23740282251582115,25.76269292831421
10,93.51,0.2307521695671957,25.972395420074463
11,93.58,0.23190973162108772,25.120449781417847
12,93.64,0.23377668854037795,25.007541179656982
13,93.66,0.23577346940984642,25.642890214920044
14,93.62,0.2377242652192429,25.439239501953125
15,93.63,0.2394980295337265,26.044397115707397
16,93.65,0.24098892659066787,25.716354370117188
17,93.66,0.24225161996776168,25.785863637924194
18,93.62,0.24336423355897394,25.572795152664185
19,93.62,0.24444990589200885,25.991865634918213
20,93.61,0.24545316049192525,25.118508100509644
21,93.62,0.2462525892814126,25.76576042175293
22,93.62,0.24693404338499414,26.267088890075684
23,93.63,0.2475902303239873,25.516231060028076
24,93.62,0.24819905517764296,25.080485105514526
25,93.61,0.24869846792514377,25.405046463012695
26,93.62,0.24919846900326165,25.27774667739868
27,93.62,0.2496890759720361,25.676069736480713
28,93.61,0.2501410557888448,25.263609170913696
29,93.61,0.25054964166181753,25.46207356452942
30,93.62,0.25090694997483226,25.472012042999268
