CommRound,Acc,Loss,Time
0,8.92,2.304580703566346,4.227646350860596
1,11.41,2.3003139465670044,29.865185499191284
2,9.8,2.2860783836509606,30.36356544494629
3,24.91,1.869948018955279,28.568530559539795
4,71.6,1.005788258359402,29.37418293952942
5,85.01,0.46794410106502,29.246397256851196
6,87.38,0.46077043836629844,29.837411165237427
7,86.73,0.45686801551263545,29.113372325897217
8,91.87,0.301663335271274,28.67343282699585
9,91.94,0.24607357976934577,29.312639713287354
10,91.98,0.25681484867877596,29.571064233779907
11,93.47,0.2147098724034768,28.973278284072876
12,91.92,0.24841143928845472,28.483944177627563
13,89.9,0.32236500188142436,29.163942337036133
14,91.99,0.2717246943731097,28.71251392364502
15,94.02,0.20364711397103494,29.123107194900513
16,93.78,0.2655216805810769,28.70109510421753
17,94.25,0.23033239874403771,28.74113941192627
18,93.98,0.2346415964450357,28.776857614517212
19,94.79,0.28588464733174873,29.07612943649292
20,94.48,0.1813941891364093,28.47493553161621
21,94.79,0.21286090952860004,28.57199764251709
22,94.9,0.23692556531455874,28.914371013641357
23,95.23,0.22550660948073079,29.01656675338745
24,95.35,0.2347896207666284,28.909460067749023
25,95.37,0.24093589456560374,29.070808172225952
26,95.36,0.246098497380168,29.323068618774414
27,95.36,0.2503410076357415,28.969917058944702
28,95.38,0.2539327895672936,28.747925996780396
29,95.39,0.25700816137165783,29.376928567886353
30,95.37,0.2597263231245385,30.08069109916687
