CommRound,Acc,Loss,Time
0,8.92,2.304580703566346,3.6130168437957764
1,10.28,3.0630019676836233,27.729514122009277
2,10.28,3.0825380916836895,28.000473499298096
3,10.28,3.0704749566090257,28.012325048446655
4,10.28,3.077654654466653,27.45688271522522
5,10.28,3.0466308382493033,27.80769181251526
6,10.28,3.057067623621301,27.6653094291687
7,10.28,3.1139577219757855,28.308635473251343
8,10.28,3.0370378675340097,28.572503805160522
9,10.28,3.0970869245408457,28.039754152297974
10,10.28,3.0733949775937237,27.983958959579468
11,10.28,3.074628347082983,28.80772829055786
12,10.28,3.072857174692275,27.07383632659912
13,10.28,3.062533900707583,27.02617621421814
14,10.28,3.0600689936287795,27.388691663742065
15,10.28,4.102316285990462,27.244767665863037
16,9.8,nan,26.6235990524292
17,9.8,nan,27.218869924545288
18,9.8,nan,27.42072582244873
19,9.8,nan,27.594482421875
20,9.8,nan,27.151455640792847
21,9.8,nan,26.601911306381226
22,9.8,nan,27.40818691253662
23,9.8,nan,25.842854499816895
24,9.8,nan,26.35473084449768
25,9.8,nan,26.484989881515503
26,9.8,nan,26.808103322982788
27,9.8,nan,27.8504695892334
28,9.8,nan,26.93063497543335
29,9.8,nan,26.977372884750366
30,9.8,nan,26.719782829284668
