CommRound,Acc,Loss,Time
0,8.92,2.3045806884765625,4.4670188426971436
1,27.49,1.7826115707807904,30.3106849193573
2,57.32,1.2262367289277571,30.974982023239136
3,63.98,1.0319105899786647,31.42554497718811
4,80.82,0.6170052056071125,30.726004123687744
5,81.46,0.592251252901705,30.7180335521698
6,84.96,0.4329457532001447,30.39192247390747
7,86.0,0.40419134176984617,30.443421363830566
8,86.86,0.36151617256146446,30.660162925720215
9,88.62,0.3220957490273669,30.19798183441162
10,91.05,0.26105512452276447,30.558048486709595
11,92.04,0.24732733947000926,30.457730531692505
12,92.18,0.24237523336387887,30.04599666595459
