CommRound,Acc,Loss,Time
0,8.92,2.304580703566346,3.6839070320129395
1,9.8,2.3002047538757324,28.043464422225952
2,9.8,2.2858819750290884,26.63669228553772
3,26.99,1.840860098223143,27.223365306854248
4,74.69,0.8076857815060434,27.160898208618164
5,87.7,0.446060168780858,27.37361454963684
6,84.9,0.5473840904386738,27.7905855178833
7,90.39,0.3160673162039322,28.780580282211304
8,92.47,0.24401836113744899,27.045509576797485
9,91.19,0.2697771116148067,27.65522265434265
10,89.82,0.3189126733171789,28.075051307678223
11,92.03,0.2561147361522234,28.01521396636963
12,93.61,0.20680635217341442,27.638124227523804
13,93.22,0.22897700067090837,27.600608587265015
14,93.68,0.1994750630817836,27.680994272232056
15,94.27,0.21106848071912845,27.44841170310974
16,94.31,0.2632185950598243,27.4510018825531
17,94.2,0.22301411702256366,27.45793390274048
18,93.71,0.24306582501511784,27.78601884841919
19,92.03,0.2580317637965649,27.136631965637207
20,93.01,0.23875059065986662,28.735193729400635
21,90.2,0.35729470839606053,26.98914384841919
22,93.66,0.2839296241615062,27.543904542922974
23,94.45,0.19236612236097786,27.64826536178589
24,93.67,0.26616948826497866,28.207422494888306
25,95.13,0.2575231975558001,26.77341866493225
26,95.05,0.2507777145941055,27.556816816329956
27,94.86,0.25401290600361964,27.631640434265137
28,95.18,0.2504154705358032,27.71348285675049
29,95.22,0.25563286736585816,28.330077648162842
30,95.23,0.2594082103694492,27.482142448425293
