CommRound,Acc,Loss,Time
0,8.92,2.3045806884765625,4.647862672805786
1,33.52,1.6818968389607682,31.852444887161255
2,61.97,1.22846535489529,31.667625188827515
3,76.18,0.7241106595419631,31.930615663528442
4,76.26,0.6543406813959532,31.283734560012817
5,83.32,0.4749526717240297,31.759456872940063
6,82.73,0.5708034932613373,31.61695623397827
7,88.51,0.34030265870350823,31.69377827644348
8,85.94,0.4722014721247214,31.47271704673767
9,82.28,0.6737884396239172,31.8193097114563
10,89.08,0.38590327796490886,30.8845796585083
11,90.71,0.30067929130377646,31.748782634735107
12,91.63,0.3147584054430452,31.44845962524414
13,89.91,0.38681385802883134,31.305331230163574
14,92.4,0.2844658065351504,31.63633370399475
15,92.75,0.2820697460512194,32.166269302368164
16,92.89,0.27930232262403903,32.348758697509766
17,92.98,0.27801121325715433,32.37346124649048
18,93.0,0.2774064369452528,31.54445791244507
19,93.04,0.2771537798468637,32.17946267127991
20,93.08,0.2770841917070218,31.555906534194946
