CommRound,Acc,Loss,Time
0,14.2,2.305601937861382,4.100329399108887
1,62.84,1.572495944892304,30.133769035339355
2,71.26,0.916892863527129,28.935832738876343
3,78.9,0.7057345932043051,29.71500563621521
4,82.02,0.5832284375836577,31.210681200027466
5,87.34,0.44732055464122866,29.270809650421143
6,89.08,0.43998233681615395,30.009268045425415
7,89.1,0.4148430532386786,29.747397422790527
8,89.19,0.4375804544815534,30.21166491508484
9,90.43,0.41002852217400376,29.982423543930054
10,89.72,0.451699720459837,31.35405135154724
11,89.76,0.44847668372566185,30.79648208618164
12,90.47,0.4349787291846698,30.452497959136963
13,90.54,0.4359669075642206,30.517520904541016
14,90.76,0.43347829760677076,31.43982696533203
15,90.87,0.43345139782781467,29.92256212234497
16,90.88,0.4339141151455196,29.353386640548706
17,90.93,0.434305215914604,27.966479063034058
18,91.0,0.4348903640255898,29.02470111846924
19,91.04,0.43513547682167986,28.368059158325195
20,91.04,0.43539011513790754,28.92921280860901
21,91.06,0.4358153603027893,28.923981189727783
22,91.08,0.4357952684800647,29.47557306289673
23,91.12,0.4361648420815038,31.834302186965942
24,91.13,0.43640320693861834,30.152448654174805
25,91.14,0.4365899781873332,30.761090517044067
26,91.17,0.43660028954331254,30.166687965393066
27,91.19,0.4364786667843597,29.692190647125244
28,91.19,0.4365375563855978,30.05958890914917
29,91.2,0.4364335552753904,31.585827589035034
30,91.21,0.4363931202671573,30.18904995918274
