CommRound,Acc,Loss,Time
0,5.25,2.3217460233953933,3.7750113010406494
1,34.29,1.8423862608173225,30.374082565307617
2,64.85,1.0610571307472036,29.60106372833252
3,72.15,0.9137550882900818,30.250656366348267
4,72.2,0.9091073987604696,31.211506128311157
5,83.49,0.5444506178551083,30.448049783706665
6,83.15,0.572055960191956,29.670583486557007
7,80.7,0.8140602990796294,29.9805691242218
8,84.99,0.6081934731123568,29.096622705459595
9,85.9,0.5735277682071245,29.853172779083252
10,85.59,0.6217238327276103,30.20298743247986
11,86.38,0.6041218298428421,30.12886118888855
12,86.26,0.6232386568113218,29.89177966117859
13,86.42,0.625284430063978,29.402678728103638
14,86.5,0.6303600335517262,29.83241558074951
15,86.59,0.6350909068803244,29.829744815826416
