CommRound,Acc,Loss,Time
0,8.92,2.3045806884765625,4.687826871871948
1,33.65,1.679745471930202,32.726534843444824
2,58.47,1.3212896970253956,32.07220649719238
3,69.53,0.8446256510819061,32.220128774642944
4,76.14,0.633223615115202,31.457956552505493
5,83.8,0.44094516619851315,31.326199054718018
6,86.48,0.3939869752790354,31.88262176513672
7,75.45,0.9140113871308821,32.817389726638794
8,88.55,0.37597925932724263,32.19231128692627
9,89.1,0.3627676819510098,32.185152769088745
10,90.14,0.3270294893108591,31.860944032669067
11,92.8,0.258971282670015,31.421124696731567
12,92.4,0.2661141493369507,31.722057580947876
13,93.15,0.2502380705473921,32.0399866104126
14,93.14,0.25304460985279537,31.724852800369263
15,93.18,0.25428436972389495,31.891302347183228
16,93.22,0.25395298277652717,31.905863285064697
17,93.26,0.2537587095476404,31.99940776824951
18,93.28,0.2537248367325792,32.47025537490845
19,93.3,0.2535798126430828,31.545088291168213
20,93.34,0.2534762746123951,31.17757558822632
21,93.44,0.2534222767770856,32.316388845443726
22,93.44,0.25347582509010275,34.76913857460022
23,93.44,0.2534872947991649,34.557533264160156
24,93.44,0.25353596219203517,35.38599181175232
25,93.43,0.25357264842649424,34.507296323776245
26,93.42,0.25364228268448685,34.81143379211426
27,93.44,0.253700679957961,34.69106149673462
28,93.45,0.2537921738421804,34.68063545227051
29,93.46,0.2538580091175022,35.576082706451416
30,93.47,0.25393373754960075,34.27053427696228
