CommRound,Acc,Loss,Time
0,5.25,2.3217460233953933,3.546328544616699
1,47.85,1.6850351683701141,30.340577363967896
2,72.37,0.9035362895530991,30.1559100151062
3,75.1,0.7857902785645255,30.3049533367157
4,79.38,0.7462012733839736,30.697049617767334
5,80.84,0.7814322877911073,30.082837343215942
6,83.99,0.6686542299163493,30.16479516029358
7,77.7,0.9773044767259043,29.34682011604309
8,86.46,0.5788792112394224,29.73990774154663
9,86.01,0.6383345762762842,29.67050313949585
10,86.57,0.6284838758314713,30.666442155838013
11,86.48,0.6471677824288984,29.91352105140686
12,86.52,0.6582030506356608,29.97511625289917
