CommRound,Acc,Loss,Time
0,8.92,2.304580703566346,3.5612776279449463
1,16.8,3.450272919256476,28.050581216812134
2,18.92,2.6388860593868206,27.448134183883667
3,25.26,2.2496933107134662,28.584460496902466
4,44.1,1.8388948531090459,28.13230276107788
5,20.78,2.1012891681888437,28.91899871826172
6,41.29,1.6559891715834412,27.292853116989136
7,43.3,1.576863079131404,27.586851596832275
8,45.27,1.574183091332641,28.065032720565796
9,58.65,1.1775679890113542,28.15698266029358
10,56.55,1.3637827883792828,27.832218408584595
11,61.73,1.2135671784606161,27.666446447372437
12,69.34,0.8886742908743364,28.307607412338257
13,79.13,0.7267012931878054,27.68555736541748
14,74.7,0.858454704284668,27.93289852142334
15,65.35,1.0622788603547253,27.286647081375122
16,76.04,0.7738187961940524,27.876691102981567
17,64.97,1.1031061788148517,27.328628540039062
18,62.3,1.0823683225655858,27.59693169593811
19,83.36,0.5377867742429806,27.303864002227783
20,71.51,1.003814627852621,27.8121395111084
21,73.65,0.8568926472452623,26.811391353607178
22,79.69,0.7541331858197345,27.43506097793579
23,72.48,1.5288365366338175,27.602100372314453
24,81.11,0.860458642244339,28.822837114334106
25,81.85,0.7016777984703644,27.07257604598999
26,81.31,0.7337149487266058,27.56104063987732
27,78.98,0.9498691868178452,28.422175645828247
28,66.66,1.2894338014759594,27.14721965789795
29,50.12,1.5715180348746385,27.113553285598755
30,80.39,0.765706737207461,26.58768630027771
